gate,svd_dim,split_seed,model_seed,model,attack,attack_family,delta_bal_acc,fire_exact,fire_union__I_X,fire_union__I_XF,fire_union__I_Ym,fire_union__I_XFY,fire_family__I_X,fire_family__I_XF,fire_family__I_Ym,fire_family__I_XFY,decision__I_X__serve_always,decision__I_X__union_uncalibrated,decision__I_X__family_calibrated,decision__I_X__family_calibrated_strict,decision__I_XF__serve_always,decision__I_XF__union_uncalibrated,decision__I_XF__family_calibrated,decision__I_XF__family_calibrated_strict,decision__I_Ym__serve_always,decision__I_Ym__union_uncalibrated,decision__I_Ym__family_calibrated,decision__I_Ym__family_calibrated_strict,decision__I_XFY__serve_always,decision__I_XFY__union_uncalibrated,decision__I_XFY__family_calibrated,decision__I_XFY__family_calibrated_strict,decision__I_XFY_trusted__serve_always,decision__I_XFY_trusted__union_uncalibrated,decision__I_XFY_trusted__family_calibrated,decision__I_XFY_trusted__family_calibrated_strict
gate5b_id_ton_iot,8,46,43,qsvc_pauli_xyz_r1,label_flip_r_0.100,target_shift,0.02877565982404695,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,46,43,qsvc_pauli_xyz_r1,mean_shift_pf_delta_0.020,covariate_shift,0.0,False,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,hold,hold,hold
gate5b_id_ton_iot,8,46,43,qsvc_pauli_xyz_r1,mean_shift_pf_delta_0.050,covariate_shift,-0.0078125,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,46,43,qsvc_pauli_xyz_r1,mean_shift_pf_delta_0.100,covariate_shift,-0.0078125,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,46,43,qsvc_pauli_xyz_r1,scaling_drift_alpha_0.020,covariate_shift,-0.0078125,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,46,43,qsvc_pauli_xyz_r1,scaling_drift_alpha_0.050,covariate_shift,0.0,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,46,43,qsvc_pauli_xyz_r1,scaling_drift_alpha_0.100,covariate_shift,0.0703125,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,feature_dropout_p_0.020,pipeline,0.0078125,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,feature_dropout_p_0.050,pipeline,0.0390625,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,feature_dropout_p_0.100,pipeline,0.0546875,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,feature_sign_flip_p_0.020,corruption,0.0078125,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,feature_sign_flip_p_0.050,corruption,0.0390625,True,True,True,False,True,False,False,False,False,allow,hold,allow,hold,allow,hold,allow,hold,allow,allow,allow,hold,allow,hold,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,feature_sign_flip_p_0.100,corruption,0.0859375,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,label_flip_prior_preserving_r_0.020,target_shift,0.015625,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,label_flip_prior_preserving_r_0.050,target_shift,0.046875,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,label_flip_prior_preserving_r_0.100,target_shift,0.0625,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,label_flip_r_0.020,target_shift,0.009515518084066477,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,label_flip_r_0.050,target_shift,0.0,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,label_flip_r_0.100,target_shift,0.010679945054945073,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,mean_shift_pf_delta_0.020,covariate_shift,0.0078125,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,mean_shift_pf_delta_0.050,covariate_shift,-0.0234375,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,mean_shift_pf_delta_0.100,covariate_shift,0.140625,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,scaling_drift_alpha_0.020,covariate_shift,0.0078125,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,scaling_drift_alpha_0.050,covariate_shift,0.125,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,42,42,qsvc_z_r1,scaling_drift_alpha_0.100,covariate_shift,0.1171875,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,feature_dropout_p_0.020,pipeline,0.0,False,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,allow,allow,allow
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,feature_dropout_p_0.050,pipeline,0.0,False,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,allow,allow,allow
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,feature_dropout_p_0.100,pipeline,0.0078125,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,feature_sign_flip_p_0.020,corruption,0.0,False,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,allow,allow,allow
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,feature_sign_flip_p_0.050,corruption,0.0,False,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,hold,hold,hold
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,feature_sign_flip_p_0.100,corruption,0.0,False,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,hold,hold,hold
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,label_flip_prior_preserving_r_0.020,target_shift,0.0,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,label_flip_prior_preserving_r_0.050,target_shift,0.0,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,label_flip_prior_preserving_r_0.100,target_shift,0.015625,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,label_flip_r_0.020,target_shift,0.0013221153846153522,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,label_flip_r_0.050,target_shift,0.0013221153846153522,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,label_flip_r_0.100,target_shift,0.012868096285434949,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,mean_shift_pf_delta_0.020,covariate_shift,0.0,False,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,hold,hold,hold
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,mean_shift_pf_delta_0.050,covariate_shift,0.0,False,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,hold,hold,hold
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,mean_shift_pf_delta_0.100,covariate_shift,0.0,False,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,hold,hold,hold
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,scaling_drift_alpha_0.020,covariate_shift,0.0,False,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,hold,hold,hold
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,scaling_drift_alpha_0.050,covariate_shift,0.0,False,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,hold,hold,hold
gate5b_id_ton_iot,8,42,43,qsvc_z_r1,scaling_drift_alpha_0.100,covariate_shift,0.0,False,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,hold,hold,hold
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,feature_dropout_p_0.020,pipeline,0.0,False,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,allow,allow,allow
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,feature_dropout_p_0.050,pipeline,0.0390625,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,feature_dropout_p_0.100,pipeline,0.0,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,feature_sign_flip_p_0.020,corruption,-0.0078125,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,feature_sign_flip_p_0.050,corruption,0.0234375,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,feature_sign_flip_p_0.100,corruption,0.0703125,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,label_flip_prior_preserving_r_0.020,target_shift,0.015625,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,label_flip_prior_preserving_r_0.050,target_shift,0.0,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,label_flip_prior_preserving_r_0.100,target_shift,0.03125,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,label_flip_r_0.020,target_shift,0.015625,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,label_flip_r_0.050,target_shift,0.037924608993157305,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,label_flip_r_0.100,target_shift,0.02059502691460735,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,mean_shift_pf_delta_0.020,covariate_shift,0.0234375,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,mean_shift_pf_delta_0.050,covariate_shift,0.0,False,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,hold,hold,hold
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,mean_shift_pf_delta_0.100,covariate_shift,-0.09375,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,scaling_drift_alpha_0.020,covariate_shift,-0.0390625,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,scaling_drift_alpha_0.050,covariate_shift,-0.1171875,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,43,42,qsvc_z_r1,scaling_drift_alpha_0.100,covariate_shift,0.1953125,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,feature_dropout_p_0.020,pipeline,0.0078125,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,feature_dropout_p_0.050,pipeline,0.0,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,feature_dropout_p_0.100,pipeline,0.03125,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,feature_sign_flip_p_0.020,corruption,0.0078125,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,feature_sign_flip_p_0.050,corruption,0.0625,True,True,True,False,True,True,True,False,False,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,feature_sign_flip_p_0.100,corruption,0.0703125,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,label_flip_prior_preserving_r_0.020,target_shift,0.0,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,label_flip_prior_preserving_r_0.050,target_shift,0.046875,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,label_flip_prior_preserving_r_0.100,target_shift,0.0625,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,label_flip_r_0.020,target_shift,0.024343711843711868,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,label_flip_r_0.050,target_shift,0.024343711843711868,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,label_flip_r_0.100,target_shift,0.03293010752688175,True,False,False,False,False,False,False,False,False,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,hold,allow,allow,allow,allow,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,mean_shift_pf_delta_0.020,covariate_shift,-0.0546875,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,mean_shift_pf_delta_0.050,covariate_shift,-0.015625,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,mean_shift_pf_delta_0.100,covariate_shift,0.0390625,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,scaling_drift_alpha_0.020,covariate_shift,0.0078125,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
gate5b_id_ton_iot,8,43,43,qsvc_z_r1,scaling_drift_alpha_0.050,covariate_shift,0.15625,True,True,True,False,True,True,True,False,True,allow,hold,hold,hold,allow,hold,hold,hold,allow,allow,allow,hold,allow,hold,hold,hold,allow,block,block,block
